Item.Filename,target_word,image_selection,feedback,reps,Item.Height,Item.Backness,F3,F0,Talker,Duration,Experiment,SR,F1,F2
E2_0.875_1.951.wav,TEST,forward,FALSE,2,0.875,1.951,3383.8982986005853,254.80486156925022,E2_synth,0.2492,1b (synthesized),193.02286513471535,463.0377823424118,3257.8040858203276
E2_0.901_1.749.wav,TEST,forward,FALSE,2,0.901,1.749,3233.1059835020405,254.80486156925022,E2_synth,0.2492,1b (synthesized),193.02286513471535,475.23463670835014,2732.053092557923
E2_0.949_0.702.wav,TEST,forward,FALSE,2,0.949,0.702,2741.6804000783827,264.282566917471,E2_synth,0.2492,1b (synthesized),195.38701284271033,504.709124848715,1018.3941194570099
E2_0.949_0.848.wav,TEST,forward,FALSE,2,0.949,0.848,2786.714845683633,264.282566917471,E2_synth,0.2492,1b (synthesized),195.38701284271033,504.709124848715,1178.4817929689991
E2_0.949_1.001.wav,TEST,forward,FALSE,2,0.949,1.001,2841.523391666228,264.282566917471,E2_synth,0.2492,1b (synthesized),195.38701284271033,504.709124848715,1373.3142705759985
E2_0.949_1.102.wav,TEST,forward,FALSE,2,0.949,1.102,2882.581097912653,264.282566917471,E2_synth,0.2492,1b (synthesized),195.38701284271033,504.709124848715,1519.2654993386016
E2_0.949_1.289.wav,TEST,forward,FALSE,2,0.949,1.289,2970.4633837747556,264.282566917471,E2_synth,0.2492,1b (synthesized),195.38701284271033,504.709124848715,1831.6679392376163
E2_0.949_1.451.wav,TEST,forward,FALSE,2,0.949,1.451,3061.0786427632725,264.282566917471,E2_synth,0.2492,1b (synthesized),195.38701284271033,504.709124848715,2153.785505051882
E2_0.989_1.681.wav,TEST,forward,FALSE,2,0.989,1.681,3234.7929631705256,254.80486156925022,E2_synth,0.2492,1b (synthesized),193.02286513471535,518.9505784619039,2787.2442260518346
E2_1.051_0.521.wav,TEST,forward,FALSE,2,1.051,0.521,2696.6126221731693,233.6109483917551,E2_synth,0.2492,1b (synthesized),187.51553442762452,536.3900986042438,903.1256511158236
E2_1.051_0.647.wav,TEST,forward,FALSE,2,1.051,0.647,2730.899795611255,233.6109483917551,E2_synth,0.2492,1b (synthesized),187.51553442762452,536.3900986042438,1024.3993217796751
E2_1.051_0.702.wav,TEST,forward,FALSE,2,1.051,0.702,2747.27531069065,233.6109483917551,E2_synth,0.2492,1b (synthesized),187.51553442762452,536.3900986042438,1082.3194891062576
E2_1.051_0.848.wav,TEST,forward,FALSE,2,1.051,0.848,2795.377257148648,233.6109483917551,E2_synth,0.2492,1b (synthesized),187.51553442762452,536.3900986042438,1252.4559870468465
E2_1.051_0.925.wav,TEST,forward,FALSE,2,1.051,0.925,2823.720267855079,233.6109483917551,E2_synth,0.2492,1b (synthesized),187.51553442762452,536.3900986042438,1352.7051648404197
E2_1.051_1.001.wav,TEST,forward,FALSE,2,1.051,1.001,2853.9190624015623,233.6109483917551,E2_synth,0.2492,1b (synthesized),187.51553442762452,536.3900986042438,1459.5182467320722
E2_1.051_1.102.wav,TEST,forward,FALSE,2,1.051,1.102,2897.773395701571,233.6109483917551,E2_synth,0.2492,1b (synthesized),187.51553442762452,536.3900986042438,1614.6309445871968
E2_1.051_1.175.wav,TEST,forward,FALSE,2,1.051,1.175,2944.8850365687153,264.282566917471,E2_synth,0.2492,1b (synthesized),195.38701284271033,558.906542887737,1809.8192781167943
